,time,year,month,day,latitude,longitude,mag,depth,Pais,PERIOD,MAG_SEG,NewDate,NewMonth,cluster_label,acum_day,ill_frac,r/km,dec,ra/h,ra/°,ill_frac_interpolated,r/km_interpolated,dec_interpolated,td_acc,td_acc_interpolated,ra/°_interpolated,ra/h_interpolated,DEC_SEG,DEC_INTERPOLATED_SEG,DEPTH_SEG,ACUM_DAY_SEG,LATITUDE_SEG,LONGITUDE_SEG,ILL_FRAC_SEG,ILL_FRAC_INTERPOLATED_SEG,RA/°_SEG,RA/H_SEG,R/KM_SEG,R/KM_INTERPOLATED_SEG,TD_ACC_INTERPOLATED_SEG,TD_ACC_SEG,RA/H_INTERPOLATED_SEG,RA/°_INTERPOLATED_SEG,week
175453,2011-03-12 20:42:41,2011,3,12,35.98,142.777,4.9,35.0,Japan,"[2008, 2013)",1,2011-03-07 20:42:41,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,48.79640622044008,388323.1573043269,23.74015112246666,0.546,0.5882857523148148,79.4977090549421,5.299847270329473,6,6,1,2,6,7,8,9,4,1,18,16,5,5,1,5,3
175454,2011-03-12 20:48:47,2011,3,12,39.843,143.311,4.8,31.8,Japan,"[2008, 2013)",1,2011-03-07 20:48:47,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,48.83915457039327,388300.4084442802,23.74127580259103,0.546,0.5884933217592593,79.55637290534881,5.303758193689921,6,6,1,2,6,7,8,9,4,1,18,16,5,5,1,5,3
175459,2011-03-12 21:38:35,2011,3,12,37.861,144.234,5.0,35.0,Japan,"[2008, 2013)",1,2011-03-07 21:38:35,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,49.18814929624061,388114.688242588,23.750457617376853,0.546,0.5901879050925926,80.03530073325935,5.335686715550622,6,6,1,2,6,7,8,9,4,1,18,16,5,5,1,5,3
175460,2011-03-12 21:40:58,2011,3,12,37.098,143.325,4.9,36.3,Japan,"[2008, 2013)",1,2011-03-07 21:40:58,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,49.20485152040264,388105.80002677743,23.75089704157845,0.546,0.5902690046296296,80.05822130869147,5.337214753912765,6,6,1,2,6,7,8,9,4,1,18,16,5,5,1,5,3
175461,2011-03-12 21:48:09,2011,3,12,39.612,142.569,5.4,26.4,Japan,"[2008, 2013)",3,2011-03-07 21:48:09,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,49.255191790429485,388079.0110686351,23.75222145997628,0.546,0.5905134375,80.12730360247642,5.341820240165094,6,6,1,2,6,7,8,9,4,1,18,16,5,5,1,5,3
175462,2011-03-12 21:58:18,2011,3,12,39.03,142.31,5.4,44.9,Japan,"[2008, 2013)",3,2011-03-07 21:58:18,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,49.326322241581096,388041.158457246,23.754092853953704,0.546,0.5908588194444444,80.22491640274333,5.3483277601828885,6,6,2,2,6,7,8,9,4,1,18,16,5,5,1,5,3
175465,2011-03-12 22:05:15,2011,3,12,37.65,143.877,4.8,23.5,Japan,"[2008, 2013)",1,2011-03-07 22:05:15,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,49.375027328822846,388015.2396740781,23.75537425180032,0.546,0.5910953125,80.29175472410836,5.35278364827389,6,6,1,2,6,7,8,9,4,1,18,16,5,5,1,5,3
175467,2011-03-12 22:12:46,2011,3,12,37.681,141.889,5.8,16.0,Japan,"[2008, 2013)",4,2011-03-07 22:12:46,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,49.42770357425697,387987.20760882937,23.75676012812844,0.546,0.591351087962963,80.36404269277892,5.3576028461852605,6,6,0,2,6,7,8,9,4,1,18,15,5,5,1,5,3
175470,2011-03-12 22:31:27,2011,3,12,39.175,142.27,5.3,31.0,Japan,"[2008, 2013)",2,2011-03-07 22:31:27,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,49.5586349958349,387917.5314555172,23.76020484512137,0.546,0.5919868402777777,80.5437207701175,5.3695813846745,6,6,1,2,6,7,8,9,4,1,18,15,5,5,1,5,3
175472,2011-03-12 22:42:36,2011,3,12,36.343,142.138,4.8,10.3,Japan,"[2008, 2013)",1,2011-03-07 22:42:36,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,49.63677337320835,387875.94952280895,23.762260612889687,0.546,0.59236625,80.65095059504125,5.376730039669416,6,6,0,2,6,7,8,9,4,1,18,15,5,5,1,5,3
